"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2008 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2001,0,0,"1,726",765,0,0,0,0,,"1,726",765,2.309357,17.67,39.86
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2002,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.302861,18.31,39.75
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2003,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.265581,18.01,39.10
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2004,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.231349,17.74,38.51
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2005,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.287066,18.18,39.47
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2006,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.270679,18.05,39.19
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2007,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.229577,17.73,38.48
24-0870,DAWSON,24,TIF PLC INC,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc
Lot 1, Block 2, GIC Third Addition
Note: this is one of 6 TIFs that the city split from original GIC.
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for commercial us",2008,0,0,"1,726",795,0,0,0,0,,"1,726",795,2.181424,17.34,37.65
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2001,0,0,"12,083","282,210",0,0,0,0,,"12,083","282,210",2.309357,"6,517.24",279.04
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2002,0,0,"12,083","282,210",0,0,0,0,,"12,083","282,210",2.302861,"6,498.90",278.25
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2003,0,0,"12,083","282,210",0,0,0,0,,"12,083","282,210",2.265581,"6,393.70",273.75
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2004,0,0,"12,083","282,210",0,0,0,0,,"12,083","282,210",2.231349,"6,297.09",269.61
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2005,0,0,"12,083","282,210",0,0,0,0,,"12,083","282,210",2.287066,"6,454.33",276.35
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2006,0,0,"12,083","357,817",0,0,0,0,,"12,083","357,817",2.270679,"8,124.88",274.37
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2007,0,0,"12,083","357,817",0,0,0,0,,"12,083","357,817",2.229577,"7,977.81",269.40
24-0871,DAWSON,24,TIF PIZZAHUT Western Staab Inc,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Western Staab, Inc.
Lots 2 & 3, Block 2, GIC Third Addition
Note: this is another of six that the city split form original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop",2008,0,0,"12,083","357,817",0,0,0,0,,"12,083","357,817",2.181424,"7,805.51",263.58
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2001,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.309357,19.54,259.09
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2002,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.302861,19.48,258.36
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2003,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.265581,19.17,254.18
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2004,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.231349,18.88,250.34
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2005,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.287066,19.35,256.59
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2006,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.270679,19.21,254.75
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2007,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.229577,18.86,250.14
24-0872,DAWSON,24,TIF PLC INC  (LT3B4),12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: PLC, Inc.
Lots 3 & 4, Block 1, GIC Third Addition
Note: this is another one of six that split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground f",2008,0,0,"11,219",846,0,0,0,0,,"11,219",846,2.181424,18.45,244.73
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2001,0,0,863,"13,137",0,0,0,0,,863,"13,137",2.309357,303.38,19.93
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2002,0,0,863,"13,137",0,0,0,0,,863,"13,137",2.302861,302.53,19.87
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2003,0,0,863,"13,137",0,0,0,0,,863,"13,137",2.265581,297.63,19.55
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2004,0,0,863,"42,086",0,0,0,0,,863,"42,086",2.231349,939.09,19.26
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2005,0,0,863,"42,086",0,0,0,0,,863,"42,086",2.287066,962.53,19.74
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2006,0,0,863,"42,086",0,0,0,0,,863,"42,086",2.270679,955.64,19.60
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2007,0,0,863,"42,086",0,0,0,0,,863,"42,086",2.229577,938.34,19.24
24-0873,DAWSON,24,TIF LASSO ESPRESSO CO,12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Hecox, Marsha A
Lot 1, Block 1, GIC Third Addition
Note: this is one of six split by city from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste ground for c",2008,0,0,863,"42,086",0,0,0,0,,863,"42,086",2.181424,918.07,18.83
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2001,0,0,"32,369","329,631",0,0,0,0,,"32,369","329,631",2.309357,"7,612.36",747.52
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2002,0,0,"32,369","329,631",0,0,0,0,,"32,369","329,631",2.302861,"7,590.94",745.41
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2003,0,0,"32,369","329,631",0,0,0,0,,"32,369","329,631",2.265581,"7,468.06",733.35
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2004,0,0,"32,369","340,278",0,0,0,0,,"32,369","340,278",2.231349,"7,592.79",722.27
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2005,0,0,"32,369","340,278",0,0,0,0,,"32,369","340,278",2.287066,"7,782.38",740.30
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2006,0,0,"32,369","505,000",0,0,0,0,,"32,369","505,000",2.270679,"11,466.93",735.00
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2007,0,0,"32,369","505,000",0,0,0,0,,"32,369","505,000",2.229577,"11,259.36",721.69
24-0874,DAWSON,24,"TIF GOAD, DONALD D (TX CO)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Donald Goad Texaco
Lot 2, Block 1, GIC Third Addition
Note: this is one of six that the city split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste gro",2008,0,0,"32,369","505,000",0,0,0,0,,"32,369","505,000",2.181424,"11,016.19",706.11
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2001,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.309357,"28,645.86",325.02
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2002,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.302861,"28,565.29",324.10
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2003,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.265581,"28,102.86",318.86
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2004,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.231349,"27,678.23",314.04
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2005,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.287066,"28,369.36",321.88
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2006,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.270679,"28,166.09",319.58
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2007,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.229577,"27,656.25",313.79
24-0875,DAWSON,24,"TIF SUPER 8 (Patel, Piyus)",12/15/1998,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Piyush Patel Super 8 
Lot 4, Block 2, GIC Third Addition
Note: this is one of six that were split from original GIC Third Addition
Description: TIF funds used for sewer and water infrastructure under river channel to develop waste grou",2008,0,0,"14,074","1,240,426",0,0,0,0,,"14,074","1,240,426",2.181424,"27,058.95",307.01
24-0876,DAWSON,24,TIF GOTHENBERG SR LIVING,5/25/2004,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Gothenburg Senior Living, LLC (Stone Hearth Estates)
110 20th Street - Lot 2, Block 22, Lakeview Addiiton and an additional tract of land 
Description: TIF funds used for property acquisition and construction of a 55-unit assisted livin",2006,0,0,"25,330","4,054,670",0,0,0,0,,"25,330","4,054,670",2.270679,"92,068.54",575.16
24-0876,DAWSON,24,TIF GOTHENBERG SR LIVING,5/25/2004,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Gothenburg Senior Living, LLC (Stone Hearth Estates)
110 20th Street - Lot 2, Block 22, Lakeview Addiiton and an additional tract of land 
Description: TIF funds used for property acquisition and construction of a 55-unit assisted livin",2007,0,0,"25,330","4,054,670",0,0,0,0,,"25,330","4,054,670",2.229577,"90,401.99",564.75
24-0876,DAWSON,24,TIF GOTHENBERG SR LIVING,5/25/2004,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: Gothenburg Senior Living, LLC (Stone Hearth Estates)
110 20th Street - Lot 2, Block 22, Lakeview Addiiton and an additional tract of land 
Description: TIF funds used for property acquisition and construction of a 55-unit assisted livin",2008,0,0,"25,330","4,054,670",0,0,0,0,,"25,330","4,054,670",2.181424,"88,449.54",552.55
24-0877,DAWSON,24,TIF GB DAWSON TIRE,7/1/1903,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: GB Dawson Tire
Lots 7-10, a portion of Lot 11, Block 8, Original Town of Gothenburg
Description: TIF funds used for propety acquisition and construction of a commercial tire retail store.",2006,0,0,"37,287","375,913",0,0,0,0,,"37,287","375,913",2.270679,"8,535.78",846.67
24-0877,DAWSON,24,TIF GB DAWSON TIRE,7/1/1903,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: GB Dawson Tire
Lots 7-10, a portion of Lot 11, Block 8, Original Town of Gothenburg
Description: TIF funds used for propety acquisition and construction of a commercial tire retail store.",2007,0,0,"37,287","375,913",0,0,0,0,,"37,287","375,913",2.229577,"8,381.27",831.34
24-0877,DAWSON,24,TIF GB DAWSON TIRE,7/1/1903,GOTHENBURG,GOTHENBURG 20,24-0020,,3,"Name of Project: GB Dawson Tire
Lots 7-10, a portion of Lot 11, Block 8, Original Town of Gothenburg
Description: TIF funds used for propety acquisition and construction of a commercial tire retail store.",2008,0,0,"37,287","375,913",0,0,0,0,,"37,287","375,913",2.181424,"8,200.26",813.39
24-0915,DAWSON,24,TIF LEX CATTLEMAN'S,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Lex Cattlemen's
Lots 1-6, Cattlemens's Addition
Description: TIF funds in this specific project within Area Development # 1used for public improvements.",2006,0,0,"109,192","534,520",0,0,0,0,,"109,192","534,520",2.059825,"11,010.18","2,249.16"
24-0915,DAWSON,24,TIF LEX CATTLEMAN'S,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Lex Cattlemen's
Lots 1-6, Cattlemens's Addition
Description: TIF funds in this specific project within Area Development # 1used for public improvements.",2007,0,0,"109,192","723,415",0,0,0,0,,"109,192","723,415",2.138558,"15,470.66","2,335.13"
24-0915,DAWSON,24,TIF LEX CATTLEMAN'S,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Lex Cattlemen's
Lots 1-6, Cattlemens's Addition
Description: TIF funds in this specific project within Area Development # 1used for public improvements.",2008,0,0,"109,192","723,415",0,0,0,0,,"109,192","723,415",2.169139,"15,691.87","2,368.53"
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2003,0,0,"36,481","139,999",0,0,0,0,,"36,481","139,999",2.098759,"2,938.24",765.65
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2004,0,0,"36,481","5,462,973",0,0,0,0,,"36,481","5,462,973",1.998765,"109,191.99",729.17
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2005,0,0,"36,481","6,585,199",0,0,0,0,,"36,481","6,585,199",2.044801,"134,654.21",745.96
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2006,0,0,"36,481","8,063,998",0,0,0,0,,"36,481","8,063,998",2.059825,"166,104.25",751.44
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2007,0,0,"36,481","8,134,456",0,0,0,0,,"36,481","8,134,456",2.138558,"173,960.06",780.17
24-0920,DAWSON,24,TIF WAL-MART STORES INC,2/26/2003,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Wal-Mart Stores, Inc
Lot 1, Fertita Addition
Description: TIF funds in this specific retail project within Area Development # 1 used for public improvements.",2008,0,0,"36,481","8,209,944",0,0,0,0,,"36,481","8,209,944",2.169139,"178,085.10",791.32
24-0930,DAWSON,24,TIF SONIC,11/1/2004,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Ford & Ford Investment, GP (Sonic Restaurant)
A tract of land in the North 1/2 of the SW1/4, Section 17, Township 9 North, Range 21 West, of the 6th p.m.
Description: TIF funds used by developer to assist in the construction and acquisi",2006,0,0,"100,287","565,113",0,0,0,0,,"100,287","565,113",2.059825,"11,640.34","2,065.74"
24-0930,DAWSON,24,TIF SONIC,11/1/2004,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Ford & Ford Investment, GP (Sonic Restaurant)
A tract of land in the North 1/2 of the SW1/4, Section 17, Township 9 North, Range 21 West, of the 6th p.m.
Description: TIF funds used by developer to assist in the construction and acquisi",2007,0,0,"100,287","565,113",0,0,0,0,,"100,287","565,113",2.138558,"12,085.27","2,144.70"
24-0930,DAWSON,24,TIF SONIC,11/1/2004,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Ford & Ford Investment, GP (Sonic Restaurant)
A tract of land in the North 1/2 of the SW1/4, Section 17, Township 9 North, Range 21 West, of the 6th p.m.
Description: TIF funds used by developer to assist in the construction and acquisi",2008,0,0,"100,287","565,113",0,0,0,0,,"100,287","565,113",2.169139,"12,258.09","2,175.36"
24-0940,DAWSON,24,TIF CORNHUSKER ENERGY,7/30/2002,LEXINGTON,LEXINGTON 1,24-0001,,3,"Name of Project: Cornhusker Energy Lexington, LLC (Redevelopment Area #4)
Lot 1, Lexington Industrial Addition
Description: TIF funds used to provide electrical service, wastewater treatment, perimeter lighting, water line for domestic use and street co",2006,0,0,0,0,"138,582","15,036,618",0,0,,"138,582","15,036,618",2.059825,"309,728.02","2,854.55"
