"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2006,0,0,124285,125140,0,0,0,0,,124285,125140,2.221661,2780.18,2761.19
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2007,0,0,124285,125140,0,0,0,0,,124285,125140,2.236266,2798.46,2779.34
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2008,0,0,124285,125140,0,0,0,0,,124285,125140,2.24506,2809.46,2790.27
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2009,0,0,124285,125140,0,0,0,0,,124285,125140,2.162639,2706.32,2687.84
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2010,0,0,124285,123005,0,0,0,0,,124285,123005,2.128555,2618.22,2645.47
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2011,0,0,124285,123005,0,0,0,0,,124285,123005,2.134553,2625.6,2652.93
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2012,0,0,124285,123005,0,0,0,0,,124285,123005,2.179369,2680.74,2708.63
10-9101,BUFFALO,10,TIF TRUE VALUE HARDWR L.WILKE,1/6/2003,RAVENNA,RAVENNA 69,10-0069,,3,"Name of Project: True Value (Lloyd A. & Sherryl J. Wilke)
Lots 8-12, Block 28, Original Town of Ravenna.
Description: TIF funds used for decorative landscaping, site development, land acqusition, parking area and other improvements as needed for the construction of a 10,800 sq. ft. building to house retail selling area, offices, work and storage area.",2013,0,0,124285,123005,0,0,0,0,,124285,123005,2.153728,2649.2,2676.76
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2007,0,0,215000,20468985,0,0,0,0,,215000,20468985,2.236266,457740.96,4807.97
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2008,0,0,215000,32252145,0,0,0,0,,215000,32252145,2.24506,724080,4826.88
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2009,0,0,215000,34750710,0,0,0,0,,215000,34750710,2.162639,751532.4,4649.67
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2010,0,0,215000,33578095,0,0,0,0,,215000,33578095,2.128555,714728.22,4576.39
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2011,0,0,215000,33578095,0,0,0,0,,215000,33578095,2.134553,716742.24,4589.29
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2012,0,0,215000,33578095,0,0,0,0,,215000,33578095,2.179369,731790.6,4685.64
10-9102,BUFFALO,10,TIF NORDIC BIOFUELS RAVENNA,10/12/2005,REVENNA,REVENNA 69,10-0069,,3,"Name of Project: Nordic Biofuels of Ravenna, LLC a/b/a Abengoa Bioenergy of Ravenna W1/2 of South of Burlington R/R/Row 201 acres Description: Site development, environmentals, infrastructure costs and ancilliary facilties sufficient to produce approximately 80 million gallons of anhydrous ethanol",2013,0,0,215000,33578095,0,0,0,0,,215000,33578095,2.153728,723180.88,4630.52
11-1001,BURT,11,TIF IND. PAVING DOLLAR GENERAL,1/1/2012,TEKAMAH,TEKAMAH-HERMAN 1,11-0001,,3,"Name of Project: Industrial Park Paving - Dollar General
Lot 2 Tekamah Dollar General Subdivision within South Industrial Area
Description: Installation of street paving and related infrastructure",2012,0,0,13415,546510,0,0,0,0,,13415,546510,2.221207,12139.12,297.97
11-1001,BURT,11,TIF IND. PAVING DOLLAR GENERAL,1/1/2012,TEKAMAH,TEKAMAH-HERMAN 1,11-0001,,3,"Name of Project: Industrial Park Paving - Dollar General
Lot 2 Tekamah Dollar General Subdivision within South Industrial Area
Description: Installation of street paving and related infrastructure",2013,0,0,13415,546510,0,0,0,0,,13415,546510,2.134932,11667.62,286.4
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2000,0,0,1800,694025,0,0,0,0,,1800,694025,1.91479,13289.12,34.47
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2001,0,0,1800,694025,0,0,0,0,,1800,694025,2.013724,13975.75,36.25
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2002,0,0,1800,694025,0,0,0,0,,1800,694025,1.998734,13871.71,35.98
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2003,0,0,1800,694025,0,0,0,0,,1800,694025,1.994531,13842.54,35.9
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2004,0,0,1800,694025,0,0,0,0,,1800,694025,1.948159,13520.71,35.07
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2005,0,0,1800,694025,0,0,0,0,,1800,694025,2.104081,14602.84,37.87
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2006,0,0,1800,697025,0,0,0,0,,1800,697025,2.115889,14748.28,38.09
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2007,0,0,1800,582500,0,0,0,0,,1800,582500,2.090619,12177.86,37.63
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2008,0,0,1800,605915,0,0,0,0,,1800,605915,2.02084,12244.58,36.38
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2009,0,0,1800,581220,0,0,0,0,,1800,581220,1.949138,11328.78,35.08
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2010,0,0,1800,570155,0,0,0,0,,1800,570155,2.067884,11790.14,37.22
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2011,0,0,1800,570155,0,0,0,0,,1800,570155,2.066978,11784.98,37.21
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2012,0,0,1800,570155,0,0,0,0,,1800,570155,1.928159,10993.5,34.71
12-5000,BUTLER,12,"TIF INTERIM HOLDINGS, LLC",2/10/1999,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: David City Apartment Partners', LLC (Interim Holdings, LLC, Partner)
3.5 acres, more or less, located on the NW1/4 of Section 29, Township 15 North, Range 3 East of the Sixth PM. Parcel  being located along 11th Street in David City.
Description: TIF funds used to extend utilities and infrastructure from existing locations within the city to the project area, including gas, electricity, street paving, with related infrastructure and other public improvements. Developer has proposed the construction of 4, four-unit apartment complexes in the project area. Project will provide additional multi-family housing consistent with the general plan for the development of the city of David City and alleviate substandard and blighted conditions in the redevelopment area and the community as a whole.",2013,0,0,1800,508355,0,0,0,0,,1800,508355,1.845117,9379.74,33.21
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2008,0,0,38760,141735,0,0,0,0,,38760,141735,2.02084,2864.24,783.28
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2009,0,0,38760,141735,0,0,0,0,,38760,141735,1.949138,2762.62,755.49
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2010,0,0,38760,141735,0,0,0,0,,38760,141735,2.067884,2930.92,801.51
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2011,0,0,38760,141735,0,0,0,0,,38760,141735,2.066978,2929.64,801.16
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2012,0,0,38760,141735,0,0,0,0,,38760,141735,1.928159,2732.88,747.35
12-5001,BUTLER,12,TIF EATING ESTAB. LLC,9/12/2007,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: The Eating Establishment, LLC
Lots 5 & 6, Block 33, Original Town of David City
Description: TIF funds used for the rehabilitation of commercial building for restaurant.",2013,0,0,38760,141735,0,0,0,0,,38760,141735,1.845117,2615.18,715.17
12-5002,BUTLER,12,TIF NORTHWEST DRAINAGE PROJ,11/12/2008,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: Northwest Drainage Project
A tract of land located in the E1/2 of the SW1/4 of Section 18T15N R3E.
Description: TIF funds used to install storm sewer for area wide benefit.",2009,0,0,1077005,407095,3543500,322020,0,0,,4620505,729115,1.949138,14211.48,90060.02
12-5002,BUTLER,12,TIF NORTHWEST DRAINAGE PROJ,11/12/2008,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: Northwest Drainage Project
A tract of land located in the E1/2 of the SW1/4 of Section 18T15N R3E.
Description: TIF funds used to install storm sewer for area wide benefit.",2010,0,0,1077005,875685,3543500,322020,0,0,,4620505,1197705,2.067884,24767.14,95546.68
12-5002,BUTLER,12,TIF NORTHWEST DRAINAGE PROJ,11/12/2008,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: Northwest Drainage Project
A tract of land located in the E1/2 of the SW1/4 of Section 18T15N R3E.
Description: TIF funds used to install storm sewer for area wide benefit.",2011,0,0,1077005,1154680,3346910,379410,0,0,,4423915,1534090,2.066978,31709.3,91441.35
12-5002,BUTLER,12,TIF NORTHWEST DRAINAGE PROJ,11/12/2008,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: Northwest Drainage Project
A tract of land located in the E1/2 of the SW1/4 of Section 18T15N R3E.
Description: TIF funds used to install storm sewer for area wide benefit.",2012,0,0,1077005,1154680,3346910,754810,0,0,,4423915,1909490,1.928159,36818.02,85300.12
12-5002,BUTLER,12,TIF NORTHWEST DRAINAGE PROJ,11/12/2008,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: Northwest Drainage Project
A tract of land located in the E1/2 of the SW1/4 of Section 18T15N R3E.
Description: TIF funds used to install storm sewer for area wide benefit.",2013,0,0,1077005,1186690,3346910,1715215,0,0,,4423915,2901905,1.845117,53543.56,81626.41
12-5003,BUTLER,12,TIF NORTHWEST INDUST PARK,1/1/2012,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: North West Industrial Park Infrastructure
All lots 1, 3, 4, 5, 6 & 7; South 73ft Lot 8; West 254 ft of North 70ft Lot 8; West 254 ft Lots 9, 10, 11, 12 and 13; and portion of vacated S Street lying north of and adjacent to Lot 13; all in Block 1, Schmid's Addition to David City approx. 16.70 acres.
Description: Street and other infrastructure to accommodate industrial expansion.",2012,0,0,0,0,888995,526400,0,0,,888995,526400,1.928159,10149.82,17141.24
12-5003,BUTLER,12,TIF NORTHWEST INDUST PARK,1/1/2012,DAVID CITY,DAVID CITY 56,12-0056,,3,"Name of Project: North West Industrial Park Infrastructure
All lots 1, 3, 4, 5, 6 & 7; South 73ft Lot 8; West 254 ft of North 70ft Lot 8; West 254 ft Lots 9, 10, 11, 12 and 13; and portion of vacated S Street lying north of and adjacent to Lot 13; all in Block 1, Schmid's Addition to David City approx. 16.70 acres.
Description: Street and other infrastructure to accommodate industrial expansion.",2013,0,0,0,0,888995,1417920,0,0,,888995,1417920,1.845117,26162.28,16403
13-2024,CASS,13,TIF GREENWOOD VILLAGE,1/1/2009,GREENWOOD,ASHLAND 1,78-0001,,3,"Name of Project: Downtown Redevelopment Project
A tract of land in Secions 32-12-9 and 5-11-9 situated withi the corporate limits of the Village known as Area # 1.
Description: TIF funds used for the acquisition and clearing of property located in the redevelopment area; instalation of public infrastructure to prepare sites for redevelopment; additional repairs, improvements, replacements and construction necessary to the foregoing.",2009,22845544,53487,4586552,52299,0,0,0,0,,27432096,105786,2.132608,2256.02,585019.07
13-2024,CASS,13,TIF GREENWOOD VILLAGE,1/1/2009,GREENWOOD,ASHLAND 1,78-0001,,3,"Name of Project: Downtown Redevelopment Project
A tract of land in Secions 32-12-9 and 5-11-9 situated withi the corporate limits of the Village known as Area # 1.
Description: TIF funds used for the acquisition and clearing of property located in the redevelopment area; instalation of public infrastructure to prepare sites for redevelopment; additional repairs, improvements, replacements and construction necessary to the foregoing.",2010,21853896,733361,4515061,240237,0,0,0,0,,26368957,973598,2.148592,20918.62,566561.3
13-2024,CASS,13,TIF GREENWOOD VILLAGE,1/1/2009,GREENWOOD,ASHLAND 1,78-0001,,3,"Name of Project: Downtown Redevelopment Project
A tract of land in Secions 32-12-9 and 5-11-9 situated withi the corporate limits of the Village known as Area # 1.
Description: TIF funds used for the acquisition and clearing of property located in the redevelopment area; instalation of public infrastructure to prepare sites for redevelopment; additional repairs, improvements, replacements and construction necessary to the foregoing.",2011,21725687,685576,4440746,1134718,0,0,0,0,,26166433,1820294,2.142633,39002.36,560650.63
13-2024,CASS,13,TIF GREENWOOD VILLAGE,1/1/2009,GREENWOOD,ASHLAND 1,78-0001,,3,"Name of Project: Downtown Redevelopment Project
A tract of land in Secions 32-12-9 and 5-11-9 situated withi the corporate limits of the Village known as Area # 1.
Description: TIF funds used for the acquisition and clearing of property located in the redevelopment area; instalation of public infrastructure to prepare sites for redevelopment; additional repairs, improvements, replacements and construction necessary to the foregoing.",2012,21538793,842758,4440746,1134718,0,0,0,0,,25979539,1977476,2.125519,42031.68,552200.04
13-2024,CASS,13,TIF GREENWOOD VILLAGE,1/1/2009,GREENWOOD,ASHLAND 1,78-0001,,3,"Name of Project: Downtown Redevelopment Project
A tract of land in Secions 32-12-9 and 5-11-9 situated withi the corporate limits of the Village known as Area # 1.
Description: TIF funds used for the acquisition and clearing of property located in the redevelopment area; instalation of public infrastructure to prepare sites for redevelopment; additional repairs, improvements, replacements and construction necessary to the foregoing.",2013,21405465,876963,4445828,1140238,0,0,0,0,,25851293,2017201,2.116964,42703.4,547262.57
13-2027,CASS,13,TIF PLATTSMOUTH WESTSIDE 1,1/1/2012,PLATTSMOUTH,PLATTSMOUTH 1,13-0001,,3,"Name of Project: Plattsmouth Westside 1
Lot 1 Westside Commerical Subdivision Replat 1 and Lots 4, 5, 6 7, and 8 of Westside Commercial Subdivision
Description: TIF funds used for redevelopment of unimproved real estate into commercial retail area; grading, installation of sewer and water lines, paving and parking improvements to support one or more retail stores or other commercial buildings.",2012,0,0,462357,0,0,0,0,0,,462357,0,2.354819,0,10887.67
13-2027,CASS,13,TIF PLATTSMOUTH WESTSIDE 1,1/1/2012,PLATTSMOUTH,PLATTSMOUTH 1,13-0001,,3,"Name of Project: Plattsmouth Westside 1
Lot 1 Westside Commerical Subdivision Replat 1 and Lots 4, 5, 6 7, and 8 of Westside Commercial Subdivision
Description: TIF funds used for redevelopment of unimproved real estate into commercial retail area; grading, installation of sewer and water lines, paving and parking improvements to support one or more retail stores or other commercial buildings.",2013,0,0,462357,613845,0,0,0,0,,462357,613845,2.339958,14363.74,10818.96
14-8664,CEDAR,14,TIF WEST FIELD ACRES PROJ 1,1/1/2012,HARTINGTON,HARTINGTON 8,14-0008,,3,"Name of Project: West Field Acres Proj 1
Lot 1 Blk 1 & Lot 4 Blk 3 Westfield Acres
Description: Infrastucture installation for housing",2012,1245,145280,0,0,0,0,,0,,1245,145280,1.847817,2684.52,23.01
